run_id,context_id,archid,device,dataset,accuracy,latency,runtime_sec,evaluations
1,1,13714,edgegpu,cifar10,94.373340,6.772180,0.269743,5020
1,1,11443,edgegpu,cifar10,93.840000,6.147151,0.269743,5020
1,1,9977,edgegpu,cifar10,92.590000,4.665880,0.269743,5020
1,1,9880,edgegpu,cifar10,92.540000,4.276762,0.269743,5020
1,1,4863,edgegpu,cifar10,92.050000,1.813836,0.269743,5020
1,1,2858,edgegpu,cifar10,88.860000,1.782961,0.269743,5020
1,1,5779,edgegpu,cifar10,86.680000,1.439686,0.269743,5020
1,1,15200,edgegpu,cifar10,10.000000,0.501385,0.269743,5020
1,2,14174,edgegpu,cifar100,72.646670,5.395265,0.266441,5020
1,2,5353,edgegpu,cifar100,69.440000,4.746261,0.266441,5020
1,2,10443,edgegpu,cifar100,68.300000,1.810923,0.266441,5020
1,2,70,edgegpu,cifar100,66.760000,1.792550,0.266441,5020
1,2,9040,edgegpu,cifar100,58.460000,1.453886,0.266441,5020
1,2,14392,edgegpu,cifar100,58.406666,1.428938,0.266441,5020
1,2,13184,edgegpu,cifar100,1.000000,0.535808,0.266441,5020
1,3,869,edgegpu,ImageNet16-120,45.822224,5.319676,0.188740,5020
1,3,13330,edgegpu,ImageNet16-120,43.533333,5.317640,0.188740,5020
1,3,5751,edgegpu,ImageNet16-120,40.044445,2.434626,0.188740,5020
1,3,12918,edgegpu,ImageNet16-120,27.950000,1.459703,0.188740,5020
1,3,12746,edgegpu,ImageNet16-120,0.833333,0.622506,0.188740,5020
2,1,14253,edgegpu,cifar10,93.485000,5.361114,0.362797,5020
2,1,5752,edgegpu,cifar10,92.400000,4.357562,0.362797,5020
2,1,9766,edgegpu,cifar10,92.043335,3.175421,0.362797,5020
2,1,956,edgegpu,cifar10,89.003334,1.878357,0.362797,5020
2,1,10181,edgegpu,cifar10,88.990000,1.788211,0.362797,5020
2,1,3294,edgegpu,cifar10,86.660000,1.474819,0.362797,5020
2,1,14612,edgegpu,cifar10,86.496666,1.474319,0.362797,5020
2,1,12103,edgegpu,cifar10,86.440000,1.468692,0.362797,5020
2,1,5640,edgegpu,cifar10,86.405000,1.452189,0.362797,5020
2,1,14763,edgegpu,cifar10,10.000000,0.542178,0.362797,5020
2,2,6515,edgegpu,cifar100,70.540000,4.762821,0.288768,5020
2,2,12391,edgegpu,cifar100,69.333336,3.728304,0.288768,5020
2,2,12723,edgegpu,cifar100,68.000000,3.126664,0.288768,5020
2,2,11866,edgegpu,cifar100,67.720000,3.125071,0.288768,5020
2,2,14370,edgegpu,cifar100,67.106670,1.835308,0.288768,5020
2,2,3274,edgegpu,cifar100,67.053340,1.827931,0.288768,5020
2,2,7220,edgegpu,cifar100,62.253334,1.791954,0.288768,5020
2,2,4618,edgegpu,cifar100,58.446667,1.474962,0.288768,5020
2,2,10270,edgegpu,cifar100,1.000000,0.547485,0.288768,5020
2,3,8695,edgegpu,ImageNet16-120,45.333332,6.863985,0.404278,5020
2,3,6304,edgegpu,ImageNet16-120,45.033333,6.275339,0.404278,5020
2,3,14713,edgegpu,ImageNet16-120,42.688890,5.634966,0.404278,5020
