run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,93.98,1.4568615,0.03907125238,0.05375153315,0,1.2318608
1,2,edgegpu,cifar100,71.08,3.302102,0.4272997709,0.1051642958,0,1.2792892
1,3,edgegpu,ImageNet16-120,46.933334,5.2226734,0.5293035805,0.8335768868,0,1.2852744
2,1,edgegpu,cifar10,93.98,3.361888,7.514186202e-10,0.06440258471,0,1.2432564
2,2,edgegpu,cifar100,71.08,3.302102,0.4272997709,0.1051642958,0,1.2626047
2,3,edgegpu,ImageNet16-120,45.033333,3.499999,0.4952648585,1.12910467,0,1.2851614
3,1,edgegpu,cifar10,93.98,3.3540154,0.005784274837,0.06310592118,0,1.2497493
3,2,edgegpu,cifar100,71.52,3.302102,0.9283030207,0.04319246479,0,1.2241378
3,3,edgegpu,ImageNet16-120,46.566666,4.667692,0.7102500304,0.4862198022,0,1.2806527
4,1,edgegpu,cifar10,93.98,3.361888,7.514186202e-10,0.06440258471,0,1.2556575
4,2,edgegpu,cifar100,72.17333,3.3634186,0.343278472,0.147028071,0,1.1981334
4,3,edgegpu,ImageNet16-120,46.566666,4.667692,0.7102500304,0.4862198022,0,1.2610115
5,1,edgegpu,cifar10,93.98,3.361888,7.514186202e-10,0.06440258471,0,1.2427003
5,2,edgegpu,cifar100,71.52,3.302102,0.9283030207,0.04319246479,0,1.3869426
5,3,edgegpu,ImageNet16-120,46.566666,4.667692,0.7102500304,0.4862198022,0,1.2708444
6,1,edgegpu,cifar10,93.98,1.4568615,0.906574442,0.005744760973,0,1.1982309
6,2,edgegpu,cifar100,72.746666,3.3652782,0.9680434395,0.1409330254,0,1.2281059
6,3,edgegpu,ImageNet16-120,45.033333,3.499999,0.4952648585,1.12910467,0,1.2636331
7,1,edgegpu,cifar10,93.98,3.361888,7.514186202e-10,0.06440258471,0,1.4174735
7,2,edgegpu,cifar100,71.52,3.302102,0.9283030207,0.04319246479,0,1.2359405
7,3,edgegpu,ImageNet16-120,47.033333,3.5398102,0.3410175598,0.8549144588,0,1.226051
8,1,edgegpu,cifar10,93.81,1.4476585,0.9278621373,0.1515294118,0,1.2119718
8,2,edgegpu,cifar100,71.08,3.302102,0.4272997709,0.1051642958,0,1.2334496
8,3,edgegpu,ImageNet16-120,46.933334,3.4528017,0.8536898726,0.1815957603,0,1.2118171
9,1,edgegpu,cifar10,93.98,1.9927979,0.8675262163,0.008028286471,0,1.2410389
9,2,edgegpu,cifar100,71.08,3.302102,0.4272997709,0.1051642958,0,1.2384678
9,3,edgegpu,ImageNet16-120,44.633335,3.3701468,0.3178170639,1.470877374,0,1.2582447
10,1,edgegpu,cifar10,93.98,3.361888,7.514186202e-10,0.06440258471,0,1.2570819
10,2,edgegpu,cifar100,71.02,3.3634186,0.3432784713,0.1873209066,0,1.2578339
10,3,edgegpu,ImageNet16-120,46.566666,4.667692,0.7102500304,0.4862198022,0,1.2635135
