run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,94.29667,0.50138474,0.9980480425,0.04518107514,0,25.3160137
1,2,edgegpu,cifar100,73.26,0.5395651,0.9929503051,0.1627103014,0,24.8216101
1,3,edgegpu,ImageNet16-120,46.9,0.53904533,0.9865489745,0.1801091936,0,24.966985
2,1,edgegpu,cifar10,94.37334,0.50138474,0.9968817131,0.06120755844,0,25.0148371
2,2,edgegpu,cifar100,73.513336,0.5058527,0.9939896295,0.1247933444,0,25.5666578
2,3,edgegpu,ImageNet16-120,47.033333,0.5398226,0.9933058837,0.06757640505,0,25.1861218
3,1,edgegpu,cifar10,94.363335,0.5398178,0.9945587606,0.07812136949,0,24.615888
3,2,edgegpu,cifar100,73.26,0.53345203,0.9940882083,0.1120031036,0,24.8337434
3,3,edgegpu,ImageNet16-120,47.033333,0.5398226,0.9856578162,0.1531349407,0,24.9668371
4,1,edgegpu,cifar10,94.37334,0.5412197,0.9960649628,0.07373132022,0,25.0816463
4,2,edgegpu,cifar100,73.166664,0.5435562,0.9949117218,0.1067202147,0,24.8045516
4,3,edgegpu,ImageNet16-120,46.933334,0.5411577,0.9914616185,0.1036635432,0,25.0401862
5,1,edgegpu,cifar10,94.37334,0.54374695,0.9959943124,0.08307679628,0,24.9532073
5,2,edgegpu,cifar100,73.166664,0.5393839,0.9965077766,0.07337506633,0,24.7913842
5,3,edgegpu,ImageNet16-120,47.31111,0.53904533,0.9957556269,0.04239893427,0,25.0691232
6,1,edgegpu,cifar10,94.37334,0.50138474,0.9972199736,0.03914876781,0,24.5433923
6,2,edgegpu,cifar100,73.09333,0.5095005,0.9957686441,0.1166967895,0,24.6726578
6,3,edgegpu,ImageNet16-120,47.31111,0.54181576,0.9947705793,0.05305252116,0,24.7677974
7,1,edgegpu,cifar10,94.37334,0.50138474,0.9985065553,0.02351202453,0,25.0580394
7,2,edgegpu,cifar100,73.513336,0.5058527,0.9979521817,0.07532299649,0,24.954899
7,3,edgegpu,ImageNet16-120,47.033333,0.53410053,0.9893220581,0.1107831008,0,24.6640009
8,1,edgegpu,cifar10,94.37334,0.5396843,0.997143984,0.08778636485,0,25.0209454
8,2,edgegpu,cifar100,73.09333,0.5358076,0.9936466689,0.154952744,0,24.6234831
8,3,edgegpu,ImageNet16-120,46.933334,0.53410053,0.9928320432,0.08365270115,0,25.1467473
9,1,edgegpu,cifar10,94.34333,0.5412197,0.9974731593,0.07354723337,0,24.6062965
9,2,edgegpu,cifar100,73.26,0.5095005,0.9962432422,0.07941030284,0,24.6740822
9,3,edgegpu,ImageNet16-120,46.766666,0.54051876,0.9904723327,0.1212828784,0,25.0319436
10,1,edgegpu,cifar10,94.34333,0.5385971,0.9985413334,0.05378929936,0,24.5240464
10,2,edgegpu,cifar100,73.26,0.5358076,0.9948428615,0.07389387564,0,24.8650894
10,3,edgegpu,ImageNet16-120,47.31111,0.53410053,0.9829767415,0.1527691618,0,24.6116947
