idx,accuracy,speed,rank,crowding_distance,architecture
0,0.8019999999999999,4.805615103667666,1,inf,"{""normal_cell"": {""blocks"": [[0, 0, 1, 1], [0, 1, 2, 0], [0, 4, 3, 0], [0, 0, 1, 1], [4, 4, 0, 4]], ""extra_connections"": [1, 3, 4]}, ""reduction_cell"": {""blocks"": [[1, 2, 1, 1], [0, 2, 0, 0], [3, 0, 2, 2], [4, 2, 0, 5], [3, 4, 0, 3]], ""extra_connections"": [1, 2]}}"
1,0.871,2.6903473189962575,4,1.5712728593846894,"{""normal_cell"": {""blocks"": [[1, 0, 0, 0], [1, 2, 1, 5], [2, 1, 2, 2], [1, 5, 2, 5], [5, 5, 0, 4]], ""extra_connections"": [3, 4, 5]}, ""reduction_cell"": {""blocks"": [[1, 0, 0, 0], [1, 3, 1, 0], [1, 4, 2, 1], [3, 3, 3, 1], [2, 1, 1, 5]], ""extra_connections"": [0, 1, 2, 3, 6]}}"
2,0.954,2.1970518973362294,0,0.673559035978804,"{""normal_cell"": {""blocks"": [[0, 0, 0, 1], [2, 1, 2, 3], [0, 3, 3, 4], [3, 4, 2, 4], [0, 5, 5, 0]], ""extra_connections"": [0, 1, 3, 4, 6]}, ""reduction_cell"": {""blocks"": [[0, 5, 1, 4], [0, 4, 0, 5], [2, 5, 1, 1], [2, 1, 4, 4], [0, 4, 2, 3]], ""extra_connections"": [2, 3]}}"
3,0.845,3.317243442086705,2,0.5489255842803694,"{""normal_cell"": {""blocks"": [[0, 0, 1, 0], [2, 1, 0, 5], [3, 4, 1, 2], [4, 4, 3, 1], [4, 5, 5, 1]], ""extra_connections"": [0, 1, 2, 3, 4]}, ""reduction_cell"": {""blocks"": [[0, 0, 1, 0], [2, 4, 0, 4], [1, 0, 0, 5], [0, 1, 0, 0], [2, 0, 4, 1]], ""extra_connections"": [0, 1, 4, 6]}}"
4,0.891,4.244211469585087,0,1.2018063205378864,"{""normal_cell"": {""blocks"": [[1, 1, 0, 0], [2, 3, 1, 3], [3, 3, 0, 5], [0, 0, 3, 5], [2, 0, 1, 1]], ""extra_connections"": [1, 3, 5, 6]}, ""reduction_cell"": {""blocks"": [[0, 0, 1, 4], [0, 0, 2, 4], [0, 0, 1, 1], [3, 3, 3, 1], [3, 0, 1, 3]], ""extra_connections"": [1, 2, 3, 4, 5, 6]}}"
5,0.915,2.3603462936746116,2,inf,"{""normal_cell"": {""blocks"": [[0, 1, 1, 1], [0, 4, 2, 4], [0, 5, 2, 0], [0, 4, 3, 4], [4, 1, 0, 4]], ""extra_connections"": [5]}, ""reduction_cell"": {""blocks"": [[0, 4, 0, 4], [0, 3, 2, 4], [2, 2, 1, 5], [2, 1, 2, 3], [1, 5, 5, 2]], ""extra_connections"": [0, 1, 4]}}"
6,0.853,2.811954349045925,4,1.4833380705300372,"{""normal_cell"": {""blocks"": [[0, 4, 1, 1], [1, 0, 0, 2], [2, 1, 3, 4], [2, 4, 4, 0], [5, 4, 2, 5]], ""extra_connections"": [2, 6]}, ""reduction_cell"": {""blocks"": [[1, 4, 0, 5], [1, 1, 2, 5], [2, 4, 3, 2], [0, 0, 3, 2], [0, 0, 2, 1]], ""extra_connections"": [0, 2, 3]}}"
7,0.877,2.54414917073197,3,inf,"{""normal_cell"": {""blocks"": [[0, 4, 0, 2], [2, 4, 0, 3], [1, 0, 2, 2], [0, 2, 1, 5], [1, 5, 0, 2]], ""extra_connections"": [0, 5]}, ""reduction_cell"": {""blocks"": [[0, 5, 1, 3], [2, 5, 0, 2], [1, 5, 0, 3], [0, 3, 1, 1], [3, 2, 2, 1]], ""extra_connections"": [3, 4, 5]}}"
8,0.834,2.774163878346461,5,inf,"{""normal_cell"": {""blocks"": [[1, 2, 1, 5], [2, 2, 0, 0], [2, 1, 2, 0], [0, 4, 3, 2], [5, 2, 3, 4]], ""extra_connections"": [1, 3, 5]}, ""reduction_cell"": {""blocks"": [[0, 2, 1, 0], [2, 2, 2, 2], [0, 5, 2, 4], [2, 5, 3, 2], [3, 5, 2, 4]], ""extra_connections"": [2, 3, 5, 6]}}"
9,0.927,2.489751243998607,1,0.35584534774538584,"{""normal_cell"": {""blocks"": [[0, 2, 1, 1], [1, 4, 2, 5], [2, 3, 3, 3], [1, 4, 3, 5], [1, 5, 0, 2]], ""extra_connections"": [0, 3]}, ""reduction_cell"": {""blocks"": [[0, 0, 0, 3], [2, 0, 1, 3], [1, 5, 3, 3], [3, 1, 1, 5], [5, 0, 0, 3]], ""extra_connections"": [2, 6]}}"
10,0.9390000000000001,2.7523068332428635,0,0.4339327882382252,"{""normal_cell"": {""blocks"": [[0, 3, 1, 3], [2, 5, 2, 3], [3, 1, 3, 3], [2, 1, 2, 4], [3, 5, 1, 2]], ""extra_connections"": [0, 2, 4, 5, 6]}, ""reduction_cell"": {""blocks"": [[0, 1, 0, 1], [1, 5, 0, 5], [1, 0, 3, 3], [2, 4, 3, 3], [0, 1, 3, 3]], ""extra_connections"": [1, 2, 4, 5, 6]}}"
11,0.879,3.305171957206392,2,0.9361225177441532,"{""normal_cell"": {""blocks"": [[1, 4, 0, 3], [0, 2, 1, 3], [0, 3, 2, 5], [3, 5, 1, 3], [1, 4, 4, 0]], ""extra_connections"": [0, 3, 5]}, ""reduction_cell"": {""blocks"": [[0, 2, 1, 2], [0, 3, 1, 2], [3, 2, 3, 2], [0, 3, 0, 5], [4, 0, 2, 1]], ""extra_connections"": [1]}}"
