idx,accuracy,speed,rank,crowding_distance,architecture
0,72.42,32.2471576952118,0,inf,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
1,68.793335,27.598045506417236,2,inf,"{""benchmark_genotype"": [4, 2, 2, 3, 3, 1], ""arch_id"": 1824, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|nor_conv_3x3~0|nor_conv_3x3~1|skip_connect~2|""}"
2,65.27333,39.46785491221856,2,0.39614918962676715,"{""benchmark_genotype"": [0, 4, 3, 2, 0, 2], ""arch_id"": 409, ""architecture_details"": ""|none~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_1x1~0|none~1|nor_conv_1x1~2|""}"
3,66.82,29.82077549910771,3,0.6170844257333048,"{""benchmark_genotype"": [4, 4, 2, 2, 2, 3], ""arch_id"": 12149, ""architecture_details"": ""|avg_pool_3x3~0|+|avg_pool_3x3~0|nor_conv_1x1~1|+|nor_conv_1x1~0|nor_conv_1x1~1|nor_conv_3x3~2|""}"
4,58.4,39.05529155263335,3,inf,"{""benchmark_genotype"": [0, 0, 1, 1, 3, 2], ""arch_id"": 4506, ""architecture_details"": ""|none~0|+|none~0|skip_connect~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_1x1~2|""}"
5,60.606667,31.99262889830183,5,2.0,"{""benchmark_genotype"": [2, 1, 2, 4, 4, 4], ""arch_id"": 4012, ""architecture_details"": ""|nor_conv_1x1~0|+|skip_connect~0|nor_conv_1x1~1|+|avg_pool_3x3~0|avg_pool_3x3~1|avg_pool_3x3~2|""}"
6,59.01,43.153495169872436,2,0.9384141146367498,"{""benchmark_genotype"": [3, 4, 0, 1, 1, 1], ""arch_id"": 3657, ""architecture_details"": ""|nor_conv_3x3~0|+|avg_pool_3x3~0|none~1|+|skip_connect~0|skip_connect~1|skip_connect~2|""}"
7,58.106667,77.91614819963053,0,inf,"{""benchmark_genotype"": [1, 4, 1, 0, 1, 0], ""arch_id"": 2286, ""architecture_details"": ""|skip_connect~0|+|avg_pool_3x3~0|skip_connect~1|+|none~0|skip_connect~1|none~2|""}"
8,68.06,27.145261883438977,3,0.43630116439586625,"{""benchmark_genotype"": [2, 2, 2, 4, 2, 3], ""arch_id"": 12066, ""architecture_details"": ""|nor_conv_1x1~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|avg_pool_3x3~0|nor_conv_1x1~1|nor_conv_3x3~2|""}"
9,67.973335,38.36254833201558,1,0.5960004677416408,"{""benchmark_genotype"": [3, 0, 2, 4, 0, 3], ""arch_id"": 1679, ""architecture_details"": ""|nor_conv_3x3~0|+|none~0|nor_conv_1x1~1|+|avg_pool_3x3~0|none~1|nor_conv_3x3~2|""}"
