variant,tex_label,base_method,disabled_units,units_removed,igd_plus_median,igd_plus_iqr,hv_median,hv_iqr,spacing_median,spacing_iqr,runtime_sec_median,runtime_sec_iqr,n_runs
mosho_enhanced,MOSHO,mosho_enhanced,,,0.01298148414,0.003206094664,0.998745249,0.0003869636278,5.344389366,0.07513062586,0.6506250111,0.01254146111,10
mosho,MOSHO-Base,mosho,,,0.01552138556,0.00099254823,0.9982011003,0.0001999004389,5.346225304,0.1719391357,0.6221438806,0.01971178889,10
mowso,MOWSO,mowso,,,0.3790963975,0.04863873589,0.9527585263,0.004322605589,7.582494028,0.4241414793,0.4269061528,0.06416718333,10
abl_u01,ABL-U01,mosho_enhanced,U01,U01,0.01200754411,0.001891240637,0.998185243,0.0005338841111,5.373544562,0.1420406024,0.6258623028,0.01317658889,10
abl_u02,ABL-U02,mosho_enhanced,U02,U02,0.01206751538,0.002219660765,0.9988301043,0.0004819664444,5.363634647,0.09070989801,0.6452894167,0.02192612778,10
abl_u03,ABL-U03,mosho_enhanced,U03,U03,0.01309157023,0.003199829031,0.998745249,0.0003869636278,5.34451639,0.07513062586,0.6553441361,0.01548787222,10
abl_u04,ABL-U04,mosho_enhanced,U04,U04,0.0227455657,0.002739990306,0.9972801554,0.0005657144333,5.379705826,0.132402949,0.3067337806,0.005737227778,10
abl_u05,ABL-U05,mosho_enhanced,U05,U05,0.01191018,0.002660193178,0.9986553047,0.0005334535778,5.317618615,0.04978349382,0.3650205778,0.03835258889,10
abl_u06,ABL-U06,mosho_enhanced,U06,U06,0.01301794903,0.002082427971,0.998481978,0.0004642976,5.355748653,0.09760131084,0.6505069361,0.01999477222,10
abl_u07,ABL-U07,mosho_enhanced,U07,U07,0.01543159396,0.003215351953,0.9985566258,0.0005885809944,5.294395703,0.05448503624,0.4126021,0.009124138889,10
abl_u08,ABL-U08,mosho_enhanced,U08,U08,0.004910242301,0.002152087716,0.9994147256,0.0001725720056,5.270572149,0.03151280976,0.5736954639,0.006827094444,10
abl_u10,ABL-U10,mosho_enhanced,U10,U10,0.01298148414,0.003206094664,0.998745249,0.0003869636278,5.344389366,0.07513062586,0.6560644028,0.01483632222,10
abl_u11,ABL-U11,mosho_enhanced,U11,U11,0.01298148414,0.003206094664,0.998745249,0.0003869636278,5.344389366,0.07513062586,0.649247775,0.02459835556,10
g_search,G-SEARCH,mosho_enhanced,"U01,U02","U01,U02",0.01353548818,0.002613113245,0.9980449218,0.00117938805,5.376446213,0.1597753076,0.6302468889,0.06040379444,10
g_adapt,G-ADAPT,mosho_enhanced,"U05,U06,U07","U05,U06,U07",0.01403162858,0.002838336314,0.998543785,0.0005021668278,5.304342675,0.06599136646,0.3663656444,0.01917360556,10
g_archive,G-ARCHIVE,mosho_enhanced,"U08,U10","U08,U10",0.004910242301,0.002152087716,0.9994147256,0.0001725720056,5.270572149,0.03151280976,0.5684912833,0.009173938889,10
g_noadv,G-NOADV,mosho_enhanced,"U08,U10,U11","U08,U10,U11",0.004910242301,0.002152087716,0.9994147256,0.0001725720056,5.270572149,0.03151280976,0.567391975,0.008587272222,10
g_nobase,G-NOBASE,mosho_enhanced,"U01,U02,U03,U04,U05,U06,U07","U01,U02,U03,U04,U05,U06,U07",0.02849506939,0.005170491674,0.9945583321,0.0007824821944,5.450111713,0.1432804426,0.2929991639,0.02240497778,10
g_core,G-CORE,mosho_enhanced,"U02,U08,U10,U11","U02,U08,U10,U11",0.004447348142,0.002268641561,0.9993755137,0.0002190882722,5.288655587,0.02503917181,0.5708249139,0.03994107222,10
