run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,spacing,c_metric,runtime_sec,evaluations
1,1,edgegpu,cifar10,93.98,1.9927979,0.950961318,0.07634735895,0.2574112381,0,4.0151801,10000
1,2,edgetpu,cifar10,94.37334,0.62932473,0.9551540508,0.08628553031,0.1569334661,0,3.9799527,10000
1,3,eyeriss,cifar10,92.49,3.1541,0.6989454972,0.8411442602,0,0,4.0915794,10000
1,4,fpga,cifar10,94.13,2.90576,0.7701793875,0.0600837395,0.1666115835,0,4.0751173,10000
1,5,pixel3,cifar10,92.86667,1.06101,0.9901421939,0.6270389822,0.9630720967,0,3.8294555,10000
1,6,raspi4,cifar10,93.24,0.01176458,0.9888130559,0.4174521433,14.64390002,0,3.8174641,10000
1,7,edgegpu,cifar100,71.08,3.302102,0.8569427855,0.8357825981,0,0,3.7986726,10000
1,8,edgetpu,cifar100,73.513336,1.4541069,1,0,0,0,3.8910509,10000
1,9,eyeriss,cifar100,73.26,3.8944,0.839550631,0.2185210112,0.5313291529,0,3.7322434,10000
1,10,fpga,cifar100,73.513336,4.67856,0.5861790689,0.2524638132,0.3359247365,0,3.761772,10000
1,11,pixel3,cifar100,70.52,0.00917951,0.9706221515,1.60808857,11.9414942,0,3.9237579,10000
1,12,raspi4,cifar100,66.48,0.01524302,0.9508665932,1.58091366,16.96891042,0,3.6851196,10000
1,13,edgegpu,ImageNet16-120,47.31111,5.294285,0.4469908975,0.2310293061,0.2394028925,0,3.8903157,10000
1,14,edgetpu,ImageNet16-120,46.933334,0.981196,0.251429937,0.163973375,0,0,3.7285033,10000
1,15,eyeriss,ImageNet16-120,47.31111,1.34464,0.5153842013,0.2357967568,0.1584581864,0,3.952138,10000
1,16,fpga,ImageNet16-120,46.9,1.11632,0.7313921184,0.4206402583,0.2127045379,0,3.8992453,10000
1,17,pixel3,ImageNet16-120,47.033333,3.3147,0.6595551248,0.7327616404,0.5675948193,0,3.8268158,10000
1,18,raspi4,ImageNet16-120,47.033333,1.5829158,0.9325857342,0.2832962797,1.423857658,0,3.7742395,10000
2,1,edgegpu,cifar10,94.37334,1.7644501,0.9925994843,0.04617120093,0.4560092293,0,3.7448244,10000
2,2,edgetpu,cifar10,94.13,0.7611004,0.8138938901,0.1110854253,0,0,3.8293423,10000
2,3,eyeriss,cifar10,94.37334,3.39986,0.8270083635,0.2771641112,0.3927051303,0,3.6167634,10000
2,4,fpga,cifar10,94.13,2.90576,0.7701793875,0.0600837395,0.1568794503,0,3.7513658,10000
2,5,pixel3,cifar10,94.30666,1.05663,0.9956265062,0.2772871359,1.349974687,0,3.7526769,10000
2,6,raspi4,cifar10,89.88333,2.529453,0.9667241144,1.228252708,0.7642627395,0,3.7007423,10000
2,7,edgegpu,cifar100,73.513336,3.4588814,0.8549589694,0.5069265704,0.3933246738,0,3.9268329,10000
2,8,edgetpu,cifar100,73.513336,1.4541069,1,0,0,0,3.9187242,10000
2,9,eyeriss,cifar100,73.26,4.14016,0.7765989458,0.5611511977,0.3541047141,0,3.8021651,10000
2,10,fpga,cifar100,73.26,3.93616,0.6967877909,0.2951116092,0.3495830788,0,3.852811,10000
2,11,pixel3,cifar100,73.16,1.27509,0.9872496457,0.3300982154,2.734385801,0,3.7065812,10000
2,12,raspi4,cifar100,69.76,2.8653324,0.9780885191,0.9589535293,2.287615608,0,3.7204633,10000
2,13,edgegpu,ImageNet16-120,46.766666,4.667692,0.6429737163,0.1510663131,0.09299877471,0,3.8517387,10000
2,14,edgetpu,ImageNet16-120,46.833332,0.8581303,0.8491401927,0.174748295,0,0,3.9203558,10000
2,15,eyeriss,ImageNet16-120,47.033333,1.2832,0.8901099465,0.1000998198,0,0,3.8449438,10000
2,16,fpga,ImageNet16-120,47.31111,2.0384,0.3749975302,0.07920366762,0,0,3.9577475,10000
2,17,pixel3,ImageNet16-120,47.31111,3.25459,0.6628766864,0.6897392923,0.3616697008,0,3.7706177,10000
2,18,raspi4,ImageNet16-120,44.655556,0.01235528,0.9556081383,1.834189809,7.052615446,0,3.7202108,10000
3,1,edgegpu,cifar10,94.37334,1.4338923,0.9620680545,0.2824784745,1.18020812,0,3.7613977,10000
3,2,edgetpu,cifar10,94.363335,0.72389483,0.8462216728,0.1733790194,0.1191497429,0,3.8161725,10000
3,3,eyeriss,cifar10,94.13,3.1541,0.8486350431,0.2344145041,0.3805897817,0,3.6125133,10000
3,4,fpga,cifar10,94.206665,1.64816,0.8661660625,0.1632580546,1.408076688,0,3.6871162,10000
3,5,pixel3,cifar10,93.17333,0.00353638,0.989912109,0.414215515,18.89638824,0,3.6928552,10000
3,6,raspi4,cifar10,93.305,2.5440412,0.9917756303,0.4043452819,2.996506421,0,3.6750233,10000
3,7,edgegpu,cifar100,71.52,2.767911,0.9461306491,0.6195678924,1.583582133,0,3.684568,10000
3,8,edgetpu,cifar100,73.513336,1.4541069,1,0,0,0,3.9311344,10000
3,9,eyeriss,cifar100,71.6,2.17408,0.8631102834,0.9416413109,0.8227374083,0,3.708687,10000
3,10,fpga,cifar100,73.26,3.93616,0.7077045738,0.2221741702,0.2796641464,0,3.7480274,10000
3,11,pixel3,cifar100,67.5,1.4774,0.9410258266,3.4869058,1.969118621,0,3.8642581,10000
3,12,raspi4,cifar100,67.38,0.01550598,0.946881581,2.224318183,16.72680606,0,3.6916429,10000
3,13,edgegpu,ImageNet16-120,47.31111,1.4367771,0.9715929554,0.1750480105,3.137579839,0,3.7266636,10000
3,14,edgetpu,ImageNet16-120,47.31111,0.99772984,4.967572426e-08,0.062214263,0,0,3.9050881,10000
3,15,eyeriss,ImageNet16-120,47.033333,1.2832,0.8901099465,0.1000998198,0,0,3.8909188,10000
3,16,fpga,ImageNet16-120,47.31111,2.0384,0.3749975302,0.07920366762,0,0,3.9253976,10000
3,17,pixel3,ImageNet16-120,46.766666,3.25459,0.6564536541,0.894963774,0.2913601356,0,3.8440941,10000
3,18,raspi4,ImageNet16-120,47.31111,2.888458,0.8422610467,0.240147727,1.256348145,0,3.8465708,10000
4,1,edgegpu,cifar10,93.98,1.9927979,0.950961318,0.07634735895,0.2627144874,0,3.8668256,10000
4,2,edgetpu,cifar10,94.25,0.5918406,0.954588986,0.2384459013,0.2407986372,0,3.6705582,10000
4,3,eyeriss,cifar10,93.11,3.39986,0.7281618685,0.6364275122,0,0,4.5457024,10000
4,4,fpga,cifar10,93.82,1.13296,0.9680390896,0.1901639286,0.9502935912,0,3.8412268,10000
4,5,pixel3,cifar10,93.6,1.11591,0.9914610372,0.33217952,1.395851215,0,3.8591855,10000
4,6,raspi4,cifar10,93.19,2.5462425,0.9937563686,0.3852731911,5.082631368,0,3.8516349,10000
4,7,edgegpu,cifar100,71.54,1.4444208,0.895489097,0.4324166579,1.466311242,0,3.8042171,10000
4,8,edgetpu,cifar100,73.513336,1.4541069,1,0,0,0,3.892515,10000
4,9,eyeriss,cifar100,73.26,2.17408,0.9979531332,0.001872621723,1.050483749,0,3.7829373,10000
4,10,fpga,cifar100,73.26,3.42096,0.7969106515,0.1994537932,0.4403340005,0,3.7639021,10000
4,11,pixel3,cifar100,69.9,0.00904683,0.9685473995,1.940791236,16.8337867,0,3.6543888,10000
4,12,raspi4,cifar100,73.16,2.5657885,0.9940589683,0.4395469497,4.234298341,0,3.7243178,10000
4,13,edgegpu,ImageNet16-120,46.833332,4.667692,0.6407569584,0.2129045187,0.1877706556,0,3.937374,10000
4,14,edgetpu,ImageNet16-120,46.766666,0.84398735,1.402760117e-08,0.2333334,0,0,3.953774,10000
4,15,eyeriss,ImageNet16-120,46.133335,1.65184,3.956039276e-10,1.046517565,0,0,3.9668816,10000
4,16,fpga,ImageNet16-120,47.31111,1.9456,0.4430716099,0.07893776504,0.1388711548,0,3.9194395,10000
4,17,pixel3,ImageNet16-120,46.533333,2.70749,0.7278955297,0.9195236109,0.5268693765,0,3.6682382,10000
4,18,raspi4,ImageNet16-120,47.31111,3.8057294,0.759329725,0.5059816777,0.6462679296,0,3.6731887,10000
5,1,edgegpu,cifar10,94.37334,1.4338923,0.7320192839,0.04922954389,1.487761601,0,3.791364,10000
5,2,edgetpu,cifar10,94.30666,0.35348138,0.9654544038,0.0260596704,1.247790949,0,3.745766,10000
